Collection,Property,Default Datafile,Category
Gas Pipelines,Expansion Pipeline,,CH4 Interconnection
Gas Pipelines,Build Cost,,CH4 Interconnection
Gas Pipelines,Economic Life,,CH4 Interconnection
Gas Pipelines,Expansion Max Flow Day,,CH4 Interconnection
Gas Pipelines,Max Flow Day,,CH4 Interconnection
Gas Pipelines,Loss Rate,,CH4 Interconnection
Gas Pipelines,Max Flow,,CH4 Interconnection
Gas Pipelines,Expansion Optimality,,CH4_Industry
Gas Pipelines,Is Available,,CH4_Industry
Gas Pipelines,Is Bidirectional,,CH4_Industry
Gas Pipelines,Flow Charge,,CH4_Industry
Gas Pipelines,Initial Volume,,CH4_Industry
Gas Pipelines,Max Volume,,CH4_Industry
Gas Pipelines,Max Flow,,CH4_Industry
Gas Pipelines,Expansion Optimality,,CH4_Transport
Gas Pipelines,Is Available,,CH4_Transport
Gas Pipelines,Is Bidirectional,,CH4_Transport
Gas Pipelines,Flow Charge,,CH4_Transport
Gas Pipelines,Initial Volume,,CH4_Transport
Gas Pipelines,Max Volume,,CH4_Transport
Gas Pipelines,Max Flow,,CH4_Transport
Gas Pipelines,Expansion Optimality,,CH4_Residential
Gas Pipelines,Is Available,,CH4_Residential
Gas Pipelines,Is Bidirectional,,CH4_Residential
Gas Pipelines,Flow Charge,,CH4_Residential
Gas Pipelines,Initial Volume,,CH4_Residential
Gas Pipelines,Max Volume,,CH4_Residential
Gas Pipelines,Max Flow,,CH4_Residential
Gas Pipelines,Expansion Optimality,,CH4_Tertiary
Gas Pipelines,Is Available,,CH4_Tertiary
Gas Pipelines,Is Bidirectional,,CH4_Tertiary
Gas Pipelines,Flow Charge,,CH4_Tertiary
Gas Pipelines,Initial Volume,,CH4_Tertiary
Gas Pipelines,Max Volume,,CH4_Tertiary
Gas Pipelines,Max Flow,,CH4_Tertiary
Gas Pipelines,Expansion Optimality,,CH4_Other
Gas Pipelines,Is Available,,CH4_Other
Gas Pipelines,Is Bidirectional,,CH4_Other
Gas Pipelines,Flow Charge,,CH4_Other
Gas Pipelines,Initial Volume,,CH4_Other
Gas Pipelines,Max Volume,,CH4_Other
Gas Pipelines,Max Flow,,CH4_Other
Gas Pipelines,Is Available,,e_kerosene
Gas Pipelines,Is Bidirectional,,e_kerosene
Gas Pipelines,Flow Charge,,e_kerosene
Gas Pipelines,Max Flow Day,,e_kerosene
Gas Pipelines,Is Available,,e_methonol
Gas Pipelines,Is Bidirectional,,e_methonol
Gas Pipelines,Flow Charge,,e_methonol
Gas Pipelines,Max Flow Day,,e_methonol
Gas Pipelines,Is Available,,Natural Gas
Gas Pipelines,Is Bidirectional,,Natural Gas
Gas Pipelines,Max Flow,,Natural Gas
Gas Storages,End Effects Method,,Hydrogen Market
Gas Storages,Max Volume,,Hydrogen Market
Gas Storages,Max Volume,Datafile,Hydrogen Market
Gas Storages,Initial Volume,Datafile,Hydrogen Market
Gas Storages,Power Consumption,,Hydrogen Market
Gas Storages,Max Withdrawal,Datafile,Hydrogen Market
Gas Storages,Max Injection,Datafile,Hydrogen Market
Gas Storages,Target Year,Datafile,Hydrogen Market
Gas Storages,Expansion Storage,,Hydrogen Market
Gas Storages,Build Cost,,Hydrogen Market
Gas Storages,WACC,,Hydrogen Market
Gas Storages,Economic Life,,Hydrogen Market
Gas Storages,Expansion Max Volume,,Hydrogen Market
Gas Storages,End Effects Method,,CH4 Storage
Gas Storages,Max Volume,,CH4 Storage
Gas Storages,Initial Volume,,CH4 Storage
Gas Storages,Power Consumption,,CH4 Storage
Gas Storages,Target Year,,CH4 Storage
Gas Storages,End Effects Method,,e_kerosene
Gas Storages,Max Volume,,e_kerosene
Gas Storages,Initial Volume,,e_kerosene
Gas Storages,Max Withdrawal,,e_kerosene
Gas Storages,Max Injection,,e_kerosene
Gas Storages,Target Year,,e_kerosene
Gas Storages,End Effects Method,,e_methonol
Gas Storages,Max Volume,,e_methonol
Gas Storages,Initial Volume,,e_methonol
Gas Storages,Max Withdrawal,,e_methonol
Gas Storages,Max Injection,,e_methonol
Gas Storages,Target Year,,e_methonol
Gas Storages,End Effects Method,,H2 Imports
Gas Storages,Max Volume,,H2 Imports
Gas Storages,Max Volume,Datafile,H2 Imports
Gas Storages,Initial Volume,Datafile,H2 Imports
Gas Storages,Target Year,Datafile,H2 Imports
Gas Storages,Expansion Storage,,H2 Imports
Gas Storages,Build Cost,,H2 Imports
Gas Storages,WACC,,H2 Imports
Gas Storages,Economic Life,,H2 Imports
Gas Storages,Expansion Max Volume,,H2 Imports
Gas Demands,Demand,,Hydrogen Market
Gas Demands,Shortage Price,,Hydrogen Market
Gas Demands,Excess Price,,Hydrogen Market
Gas Demands,Demand,,Zone 2 Industry
Gas Demands,Shortage Price,,Zone 2 Industry
Gas Demands,Excess Price,,Zone 2 Industry
Gas Demands,Demand,Datafile,Zone 2 Industry
Gas Demands,Demand,,Zone 2 Transport
Gas Demands,Shortage Price,,Zone 2 Transport
Gas Demands,Excess Price,,Zone 2 Transport
Gas Demands,Demand,Datafile,Zone 2 Transport
Gas Demands,Demand,Datafile,CH4_Industry
Gas Demands,Shortage Price,,CH4_Industry
Gas Demands,Demand,Datafile,CH4_Transport
Gas Demands,Shortage Price,,CH4_Transport
Gas Demands,Demand,Datafile,CH4_Residential
Gas Demands,Shortage Price,,CH4_Residential
Gas Demands,Demand,Datafile,CH4_Tertiary
Gas Demands,Shortage Price,,CH4_Tertiary
Gas Demands,Demand,Datafile,e_kerosene
Gas Demands,Shortage Price,,e_kerosene
Gas Demands,Excess Price,,e_kerosene
Gas Demands,Demand,Datafile,e_methonol
Gas Demands,Shortage Price,,e_methonol
Gas Demands,Excess Price,,e_methonol
Vehicles,Units,,Home Charging
Vehicles,Capacity,,Home Charging
Vehicles,Efficiency,,Home Charging
Vehicles,Demand,Datafile,Home Charging
Vehicles,Min SoC,,Home Charging
Vehicles,Units,,Street Charging
Vehicles,Capacity,,Street Charging
Vehicles,Efficiency,,Street Charging
Vehicles,Demand,Datafile,Street Charging
Vehicles,Min SoC,,Street Charging
Charging Stations,Units,,Residential
Charging Stations,Max Charge Rate,Datafile,Residential
Charging Stations,Deferrable Load,,Residential
Charging Stations,Deferment Period,,Residential
Charging Stations,Max Discharge Rate,Datafile,Residential
Charging Stations,Charge Efficiency,,Residential
Charging Stations,Discharge Efficiency,,Residential
Charging Stations,UoS Charge,,Residential
Charging Stations,Units,,Tertiary
Charging Stations,Max Charge Rate,,Tertiary
Charging Stations,Deferrable Load,,Tertiary
Charging Stations,Deferment Period,,Tertiary
Charging Stations,Max Discharge Rate,,Tertiary
Charging Stations,Charge Efficiency,,Tertiary
Charging Stations,Discharge Efficiency,,Tertiary
Charging Stations,UoS Charge,,Tertiary
Charging Stations,Units,,Street
Charging Stations,Max Charge Rate,,Street
Charging Stations,Deferrable Load,,Street
Charging Stations,Deferment Period,,Street
Charging Stations,Max Discharge Rate,,Street
Charging Stations,Charge Efficiency,,Street
Charging Stations,Discharge Efficiency,,Street
Charging Stations,UoS Charge,,Street
Constraints,Sense,,Hydro Pumping
Constraints,RHS,Datafile,Hydro Pumping
Constraints,Sense,,Gas Plant Retrofit
Constraints,RHS,,Gas Plant Retrofit
Constraints,Sense,,CH4 Pipeline Repurpose
Constraints,RHS,,CH4 Pipeline Repurpose
Constraints,Sense,,-
Constraints,RHS,,-
DataFiles,Filename,Datafile,All
Variables,Profile,,Hydro Variables
Variables,Profile,,Scalers
Variables,Profile,,Ramp Rates
Variables,Profile,,Min Flow
Generator.Start Fuels,Offtake at Start,,Bio Fuels
Generator.Start Fuels,Offtake at Start,,Nuclear
Generator.Constraints,Units Built Coefficient,,Gas Plant Retrofit
Generator.Constraints,Capacity Built Coefficient,,-
Storage.Constraints,End Volume Coefficient,,Hydro Pumping
Emission.Fuels,Production Rate,,Hard coal
Emission.Fuels,Production Rate,,Lignite
Emission.Fuels,Production Rate,,Gas
Emission.Fuels,Production Rate,,Light oil
Emission.Fuels,Production Rate,,Heavy oil
Emission.Fuels,Production Rate,,Oil shale
Gas Plant.Output Node,Min Blend Percent,,e_kerosene
Gas Plant.Output Node,Max Blend Percent,,e_kerosene
Gas Plant.Output Node,Min Blend Percent,,e_methonol
Gas Plant.Output Node,Max Blend Percent,,e_methonol
Gas Pipeline.Constraints,Units Built Coefficient,,CH4 Pipeline Repurpose
Vehicle.Charging Stations,Share,,Tertiary
Vehicle.Charging Stations,Share,,Street
