PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D06,H2",0.0,0.0,0.0,0.0
"M01,D06,H3",0.0,0.0,0.0,0.0
"M01,D06,H4",0.0,0.0,0.0,0.0
"M01,D06,H5",0.0,0.0,0.0,0.0
"M01,D06,H6",0.0,0.0,0.0,0.0
"M01,D06,H7",0.0,0.0,0.0,0.0
"M01,D06,H8",0.0,0.0,0.0,0.0
"M01,D06,H9",0.0,0.0,0.0,0.0
"M01,D06,H10",0.0,0.0,0.0,0.0
"M01,D06,H11",0.0,0.0,0.0,0.0
"M01,D06,H12",0.0,0.0,0.0,0.0
"M01,D06,H13",0.0,0.0,0.0,0.0
"M01,D06,H14",0.0,0.0,0.0,0.0
"M01,D06,H15",0.0,0.0,0.0,0.0
"M01,D06,H16",0.0,0.0,0.0,0.0
"M01,D06,H17",0.0,0.0,0.0,0.0
"M01,D06,H18",0.0,0.0,0.0,0.0
"M01,D06,H19",0.0,0.0,0.0,0.0
"M01,D06,H20",0.0,0.0,0.0,0.0
"M01,D06,H21",0.0,0.0,0.0,0.0
"M01,D06,H22",0.0,0.0,0.0,0.0
"M01,D06,H23",0.0,0.0,0.0,0.0
"M01,D06,H24",0.0,0.0,0.0,0.0
"M01,D07,H1",0.0,0.0,0.0,0.0
"M01,D07,H2",0.0,0.0,0.0,0.0
"M01,D07,H3",0.0,0.0,0.0,0.0
"M01,D07,H4",0.0,0.0,0.0,0.0
"M01,D07,H5",0.0,0.0,0.0,0.0
"M01,D07,H6",0.0,0.0,0.0,0.0
"M01,D07,H7",0.0,0.0,0.0,0.0
"M01,D07,H8",0.0,0.0,0.0,0.0
"M01,D07,H9",0.0,0.0,0.0,0.0
"M01,D07,H10",0.0,0.0,0.0,0.0
"M01,D07,H11",0.0,0.0,0.0,0.0
"M01,D07,H12",0.0,0.0,0.0,0.0
"M01,D07,H13",0.0,0.0,0.0,0.0
"M01,D07,H14",0.0,0.0,0.0,0.0
"M01,D07,H15",0.0,0.0,0.0,0.0
"M01,D07,H16",0.0,0.0,0.0,0.0
"M01,D07,H17",0.0,0.0,0.0,0.0
"M01,D07,H18",0.0,0.0,0.0,0.0
"M01,D07,H19",0.0,0.0,0.0,0.0
"M01,D07,H20",0.0,0.0,0.0,0.0
"M01,D07,H21",0.0,0.0,0.0,0.0
"M01,D07,H22",0.0,0.0,0.0,0.0
"M01,D07,H23",0.0,0.0,0.0,0.0
