TIME,year,Month,EU27 countries,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Euro area - 19 countries  (from 2015),BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IL,NO,UK,TR
2018-06,2018,6,"4,307.00","3,914.00","3,914.00",154,32,44,68,961,5,105,179,626,650,23,454,34,15,13,51,23,15,346,75,95,146,14,3,5,77,94,:,77,1064,460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,
2018-07,2018,7,"4,689.00","4,215.00","4,215.00",167,40,50,106,973,2,107,211,677,747,32,513,37,14,12,48,27,17,371,81,105,154,16,3,6,75,98,:,83,1180,517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,
2018-08,2018,8,"4,598.00","4,123.00","4,123.00",164,39,50,100,931,3,111,204,677,723,31,478,38,14,12,50,28,15,369,84,106,160,14,6,6,78,107,:,79,1164,535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09,2018,9,"4,389.00","3,951.00","3,951.00",158,29,49,93,954,1,99,180,632,688,25,451,36,15,11,50,27,15,350,78,108,151,15,5,4,73,92,:,75,1173,485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10,2018,10,"4,155.00","3,766.00","3,766.00",156,16,40,102,895,1,104,129,620,675,17,418,33,15,11,49,27,14,351,75,89,142,11,3,3,72,87,:,77,1027,442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11,2018,11,"3,483.00","3,156.00","3,156.00",148,15,33,83,841,6,78,59,491,567,9,321,18,9,10,54,18,11,299,66,76,107,13,2,2,67,80,:,78,863,345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12,2018,12,"3,448.00","3,136.00","3,136.00",140,15,26,75,800,6,72,53,470,603,13,326,14,9,10,54,23,10,301,71,77,113,0,1,5,78,83,:,63,953,347
,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,
2019-01,2019,1,"3,357.29","3,054.29","3,054.29",137,13,25,78,773,6,68,45,476,599,6,319,13,10,10,47,21,9,292,66,70,109,10,1,3,71,80,:,62,943,353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02,2019,2,"3,107.01","2,831.01","2,831.01",121,12,21,72,746,5,60,45,436,552,4,293,12,10,8,41,19,9,270,61,66,96,8,1,2,63,74,:,61,833,333
,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,
2019-03,2019,3,"3,585.89","3,265.89","3,265.89",147,13,27,86,809,5,75,57,527,624,7,342,17,11,9,49,18,10,307,78,73,112,8,2,5,80,88,:,67,1009,372
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04,2019,4,"3,950.26","3,602.26","3,602.26",147,12,30,82,925,5,91,89,560,662,21,394,24,12,11,48,24,14,327,84,83,126,13,2,3,78,83,:,65,1070,412
,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,p,,,,
2019-05,2019,5,"4,146.21","3,766.21","3,766.21",150,20,40,87,855,6,103,147,607,675,14,431,32,15,12,50,25,15,348,86,94,145,10,3,3,83,90,:,70,1085,465
,,,,,,,,,,,,,p,,,,,,,,,,,p,,,,,,,,,,,,
2019-06,2019,6,"4,421.77","3,978.77","3,978.77",155,30,48,98,926,7,110,190,634,698,25,468,33,13,12,49,23,16,339,88,105,150,14,3,5,83,100,:,78,1093,499
,,,,,,,,p,,,,,,,,,,,,,,,,p,,,,,,,,,,,,
2019-07,2019,7,"4,675.72","4,192.72","4,192.72",156,40,50,106,886,6,115,220,698,763,37,511,36,16,11,50,25,17,357,91,106,168,21,4,6,82,98,:,83,1167,546
,,,,,,,,,,,,,p,,,,,,,,,,,p,,,,,,,,p,,,,
2019-08,2019,8,"4,688.72","4,214.72","4,214.72",152,37,56,106,954,8,110,213,690,755,35,507,35,14,12,48,28,17,359,90,108,158,12,3,7,83,92,:,76,1184,622
,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,p,
2019-09,2019,9,"4,405.04","3,980.04","3,980.04",145,29,49,91,898,6,102,189,657,708,21,471,34,15,12,50,26,16,344,85,96,161,14,3,5,79,99,:,74,1133,549
,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,p,
2019-10,2019,10,"4,191.22","3,792.61","3,792.22",146,14,41,99,935,6,94,130,617,657,21,440,31,14,13,42,25,16,338,83,99,145,14,2,5,79,86,:,81,1017,556
,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,
2019-11,2019,11,"3,401.96","3,081.96","3,081.96",135,12,31,73,762,5,66,53,500,581,7,337,17,11,10,48,24,11,285,69,87,112,10,1,7,72,76,:,66,907,384
,,,,,,,,,,,,,p,,,,,,,,,,,p,,,,,,,,,,,,
2019-12,2019,12,"3,499.26","3,172.96","3,172.96",132,16,31,80,771,5,68,58,516,613,9,355,14,12,9,44,24,11,291,71,79,117,10,1,4,80,77,:,62,925,371
